q1,q2,q3,q4,q5,q6
-2.949349678004647313e+00,-1.966233118669765023e+00,-2.457791398337206168e+00,-2.949349678004647313e+00,-1.966233118669765023e+00,-2.949349678004647313e+00
-2.947989998249750165e+00,-1.965326665499833370e+00,-2.456658331874791656e+00,-2.947989998249750165e+00,-1.965326665499833370e+00,-2.947989998249750165e+00
-2.946612309491476456e+00,-1.964408206327650896e+00,-2.455510257909563787e+00,-2.946612309491476456e+00,-1.964408206327650896e+00,-2.946612309491476456e+00
-2.945216611729826628e+00,-1.963477741153217826e+00,-2.454347176441522116e+00,-2.945216611729826628e+00,-1.963477741153217826e+00,-2.945216611729826628e+00
-2.943802904964800682e+00,-1.962535269976533936e+00,-2.453169087470667531e+00,-2.943802904964800682e+00,-1.962535269976533936e+00,-2.943802904964800682e+00
-2.942371189196399062e+00,-1.961580792797599226e+00,-2.451975990996999144e+00,-2.942371189196399062e+00,-1.961580792797599226e+00,-2.942371189196399062e+00
-2.940921464424620879e+00,-1.960614309616413919e+00,-2.450767887020517399e+00,-2.940921464424620879e+00,-1.960614309616413919e+00,-2.940921464424620879e+00
-2.939453730649466578e+00,-1.959635820432977793e+00,-2.449544775541222297e+00,-2.939453730649466578e+00,-1.959635820432977793e+00,-2.939453730649466578e+00
-2.937967987870936160e+00,-1.958645325247290847e+00,-2.448306656559113392e+00,-2.937967987870936160e+00,-1.958645325247290847e+00,-2.937967987870936160e+00
-2.936464236089029622e+00,-1.957642824059353082e+00,-2.447053530074191574e+00,-2.936464236089029622e+00,-1.957642824059353082e+00,-2.936464236089029622e+00
-2.934942475303746967e+00,-1.956628316869164719e+00,-2.445785396086455954e+00,-2.934942475303746967e+00,-1.956628316869164719e+00,-2.934942475303746967e+00
-2.933402705515088638e+00,-1.955601803676725536e+00,-2.444502254595906976e+00,-2.933402705515088638e+00,-1.955601803676725536e+00,-2.933402705515088638e+00
-2.931844926723053746e+00,-1.954563284482035757e+00,-2.443204105602544640e+00,-2.931844926723053746e+00,-1.954563284482035757e+00,-2.931844926723053746e+00
-2.930269138927642736e+00,-1.953512759285095157e+00,-2.441890949106368947e+00,-2.930269138927642736e+00,-1.953512759285095157e+00,-2.930269138927642736e+00
-2.928675342128855608e+00,-1.952450228085903738e+00,-2.440562785107379451e+00,-2.928675342128855608e+00,-1.952450228085903738e+00,-2.928675342128855608e+00
-2.927063536326692361e+00,-1.951375690884461500e+00,-2.439219613605577042e+00,-2.927063536326692361e+00,-1.951375690884461500e+00,-2.927063536326692361e+00
-2.925433721521152997e+00,-1.950289147680768664e+00,-2.437861434600960830e+00,-2.925433721521152997e+00,-1.950289147680768664e+00,-2.925433721521152997e+00
-2.923785897712237514e+00,-1.949190598474825009e+00,-2.436488248093531261e+00,-2.923785897712237514e+00,-1.949190598474825009e+00,-2.923785897712237514e+00
-2.922120064899945913e+00,-1.948080043266630534e+00,-2.435100054083288335e+00,-2.922120064899945913e+00,-1.948080043266630534e+00,-2.922120064899945913e+00
-2.920436223084278193e+00,-1.946957482056185462e+00,-2.433696852570232050e+00,-2.920436223084278193e+00,-1.946957482056185462e+00,-2.920436223084278193e+00
-2.918734372265234356e+00,-1.945822914843489571e+00,-2.432278643554361963e+00,-2.918734372265234356e+00,-1.945822914843489571e+00,-2.918734372265234356e+00
-2.917014512442814400e+00,-1.944676341628542859e+00,-2.430845427035678519e+00,-2.917014512442814400e+00,-1.944676341628542859e+00,-2.917014512442814400e+00
-2.915276643617018326e+00,-1.943517762411345551e+00,-2.429397203014181716e+00,-2.915276643617018326e+00,-1.943517762411345551e+00,-2.915276643617018326e+00
