tau1,tau2,tau3,tau4,tau5,tau6
-0.046038213774894,-2.1867196746780566,1.4947195293670956,-0.020951719159240968,-0.747786686373075,-0.011019244169222186
-0.057361795594197,-2.1726371875637045,1.5064757302540357,0.017678354543072317,-0.7394006816561126,-0.008570897427573798
-0.058596318063657685,-2.1972265212722557,1.5034212030199885,0.014459083700785398,-0.7452813936068724,-0.015630698871349068
-0.033924009710407654,-2.1717902609356043,1.5535010059039314,-0.0056718533285744065,-0.7454596812773844,0.011014313081854115
-0.053317827541630294,-2.1723130125770296,1.5553427326433413,0.006376955727223901,-0.7323424861969692,0.011330508449634766
-0.038952525796082924,-2.1537003145681735,1.5792771203886014,0.018258913748920132,-0.7451930318139753,-0.00677177579518547
-0.06572007339825475,-2.1477475035837896,1.5846840546468344,0.028437941312380272,-0.7387664653049578,-0.017146688946517438
-0.03966224893271499,-2.1380248444786654,1.6043128799280344,0.008742060891613522,-0.7465143962234344,0.010341578921718365
-0.062374149876740684,-2.154331528346335,1.6164371381061158,0.01257082647954061,-0.7329239081617032,-0.013663129849679649
-0.04902005452930225,-2.1364943959999994,1.6144915784369942,0.038529343296481125,-0.7361802888971773,-0.001771451183162286
-0.05429598013954553,-2.113193144540512,1.6456166471679277,0.03995614548358536,-0.7233301585034108,-0.0033323844451977336
-0.037953922110869315,-2.1139009443532353,1.6281312500148981,0.03697401703121222,-0.6910337205137428,-0.009316770660189013
-0.0628460229387376,-2.1113430878228314,1.6434809327829365,0.03443158385528487,-0.7160976595427914,-0.019757568046101327
-0.04284566652065222,-2.0866403895327026,1.6596839136428514,0.049691633267425636,-0.699519794197915,0.013387453478493985
-0.038394267181943165,-2.08339264475505,1.696342237257482,0.019773535292757948,-0.6997115562200557,0.007034920596662386
-0.05730647116048064,-2.062818093929478,1.70964766574412,0.041493999765212966,-0.6838393262516186,0.008926823169552043
-0.06407133314046967,-2.060763254561335,1.7456186572730856,0.06549130138724928,-0.6808347940823577,-0.0160250835030267
-0.04617546960683547,-2.0739257266864484,1.7345284368355751,0.06945754911615219,-0.6760040662830351,-0.00821532206579999
-0.028566798461310664,-2.051980253554805,1.7812003964727867,0.06933496232307394,-0.6733994058842672,0.010950951002702214
-0.030860121762998998,-2.0548299390419804,1.8019231283327153,0.06451240042180836,-0.6676671172479884,0.0013031691647773253
-0.047560078405571055,-2.019114467917136,1.7852913422931076,0.07831150810858857,-0.6745191477051959,0.00060510477643209
-0.05399749351176607,-2.017522309698978,1.8294413525552382,0.06197923281190482,-0.6704927832464113,-0.01319494842991074
-0.02982707370184812,-1.988311877184573,1.8352346741449292,0.0805334110099226,-0.6381476957428285,-0.008048389754904848
-0.031201775437724195,-1.99064338520705,1.885123604279735,0.09448858907885103,-0.6271638404740266,-0.016944615985797905
-0.0502939360506309,-1.9677436893872164,1.881772543004464,0.08033602548039621,-0.6449383848026896,-0.007373949095031098
-0.02611816807171199,-1.9700521640101634,1.90965544162103,0.06885829675205082,-0.6451710732339491,-0.023991249762042633
-0.04192927864210167,-1.9329785797443517,1.93151113511428,0.0891856344795382,-0.6015212161052521,-0.005712283465021378
