q1,q2,q3,q4,q5,q6
-2.999265290898884828e+00,-1.999510193932589885e+00,-2.999265290898884828e+00,-2.499387742415737357e+00,-2.999265290898884828e+00,-1.999510193932589885e+00,-2.999265290898884828e+00
-2.999156583940046250e+00,-1.999437722626697500e+00,-2.999156583940046250e+00,-2.499297153283371653e+00,-2.999156583940046250e+00,-1.999437722626697500e+00,-2.999156583940046250e+00
-2.999040379949563739e+00,-1.999360253299709234e+00,-2.999040379949563739e+00,-2.499200316624636375e+00,-2.999040379949563739e+00,-1.999360253299709234e+00,-2.999040379949563739e+00
-2.998916678927437296e+00,-1.999277785951624864e+00,-2.998916678927437296e+00,-2.499097232439531080e+00,-2.998916678927437296e+00,-1.999277785951624864e+00,-2.998916678927437296e+00
-2.998785480873666476e+00,-1.999190320582444391e+00,-2.998785480873666476e+00,-2.498987900728055322e+00,-2.998785480873666476e+00,-1.999190320582444391e+00,-2.998785480873666476e+00
-2.998646785788252167e+00,-1.999097857192168037e+00,-2.998646785788252167e+00,-2.498872321490209991e+00,-2.998646785788252167e+00,-1.999097857192168037e+00,-2.998646785788252167e+00
-2.998500593671193482e+00,-1.999000395780795580e+00,-2.998500593671193482e+00,-2.498750494725994642e+00,-2.998500593671193482e+00,-1.999000395780795580e+00,-2.998500593671193482e+00
-2.998346904522490419e+00,-1.998897936348327020e+00,-2.998346904522490419e+00,-2.498622420435408831e+00,-2.998346904522490419e+00,-1.998897936348327020e+00,-2.998346904522490419e+00
-2.998185718342143868e+00,-1.998790478894762579e+00,-2.998185718342143868e+00,-2.498488098618453446e+00,-2.998185718342143868e+00,-1.998790478894762579e+00,-2.998185718342143868e+00
-2.998017035130152941e+00,-1.998678023420102035e+00,-2.998017035130152941e+00,-2.498347529275127599e+00,-2.998017035130152941e+00,-1.998678023420102035e+00,-2.998017035130152941e+00
-2.997840854886518525e+00,-1.998560569924345609e+00,-2.997840854886518525e+00,-2.498200712405432178e+00,-2.997840854886518525e+00,-1.998560569924345609e+00,-2.997840854886518525e+00
-2.997657177611239732e+00,-1.998438118407493080e+00,-2.997657177611239732e+00,-2.498047648009366295e+00,-2.997657177611239732e+00,-1.998438118407493080e+00,-2.997657177611239732e+00
-2.997466003304316562e+00,-1.998310668869544449e+00,-2.997466003304316562e+00,-2.497888336086930394e+00,-2.997466003304316562e+00,-1.998310668869544449e+00,-2.997466003304316562e+00
-2.997267331965749904e+00,-1.998178221310499936e+00,-2.997267331965749904e+00,-2.497722776638124920e+00,-2.997267331965749904e+00,-1.998178221310499936e+00,-2.997267331965749904e+00
-2.997061163595538869e+00,-1.998040775730359320e+00,-2.997061163595538869e+00,-2.497550969662948983e+00,-2.997061163595538869e+00,-1.998040775730359320e+00,-2.997061163595538869e+00
-2.996847498193683901e+00,-1.997898332129122601e+00,-2.996847498193683901e+00,-2.497372915161403473e+00,-2.996847498193683901e+00,-1.997898332129122601e+00,-2.996847498193683901e+00
-2.996626335760185000e+00,-1.997750890506790000e+00,-2.996626335760185000e+00,-2.497188613133487500e+00,-2.996626335760185000e+00,-1.997750890506790000e+00,-2.996626335760185000e+00
-2.996397676295041723e+00,-1.997598450863361297e+00,-2.996397676295041723e+00,-2.496998063579201510e+00,-2.996397676295041723e+00,-1.997598450863361297e+00,-2.996397676295041723e+00
-2.996161519798254957e+00,-1.997441013198836490e+00,-2.996161519798254957e+00,-2.496801266498545946e+00,-2.996161519798254957e+00,-1.997441013198836490e+00,-2.996161519798254957e+00
-2.995917866269823815e+00,-1.997278577513215803e+00,-2.995917866269823815e+00,-2.496598221891519920e+00,-2.995917866269823815e+00,-1.997278577513215803e+00,-2.995917866269823815e+00
