tau1,tau2,tau3,tau4,tau5,tau6,tau7
2.246900453013801,14.873380494911931,-0.4621050206378416,2.973495149216096,0.1550404822614742,0.9379240444813104,0.003341597259101555
2.247455602262778,14.873965312456022,-0.46292284995194233,2.9726780238707327,0.15511713490971843,0.9378727588025066,0.003343283568271846
2.248030949212499,14.874570269862847,-0.46377073050054474,2.9718310458965975,0.15519660560109105,0.9378195215020119,0.003345032047903796
2.2486264686357624,14.875195272756654,-0.4646486964088284,2.9709542282863746,0.15527889696561928,0.9377643238125477,0.00334684270014448
2.2492421339300113,14.875840222763319,-0.46555678286272406,2.9700475852839707,0.15536401167781652,0.9377071566090103,0.003348715526736861
2.249877919175366,14.8765050184258,-0.466495026497598,2.969111131713912,0.15545195257238043,0.9376480104692969,0.003350650531275402
2.2505337957753793,14.877189555158903,-0.4674634648366449,2.9681448823582772,0.15554272248319786,0.9375868756873706,0.0033526477150539226
2.25120973581731,14.87789372425392,-0.46846213681651383,2.9671488532774406,0.15563632438754782,0.9375237421797975,0.003354707081371335
2.2519057100730766,14.878617414409334,-0.4694910824841513,2.9661230607996414,0.1557327613262819,0.937458599614217,0.0033568286328954852
2.2526216881417582,14.879360510144991,-0.47055034300095777,2.965067521850326,0.1558320363974008,0.9373914372858841,0.0033590123718970147
2.253357639662495,14.880122892879426,-0.47163996083966425,2.9639822543336964,0.15593415281565995,0.9373222441952833,0.0033612583017769075
2.254113533002307,14.880904440865184,-0.4727599795973724,2.9628672760924326,0.15603911385968647,0.9372510090496167,0.0033635664252252948
2.254889336040783,14.881705028296484,-0.47391044406831795,2.96172260630092,0.15614692288621007,0.9371777201899925,0.003365936745497688
2.2556850152593015,14.882524526204014,-0.47509140012907336,2.9605482644442733,0.1562575833017725,0.937102365665305,0.0033683692650568805
2.256500537909555,14.88336280247026,-0.47630289509669443,2.9593442707506328,0.15637109866396187,0.9370249332227399,0.003370863988239995
2.2573358686411966,14.884219720748796,-0.477544977137351,2.958110646111624,0.1564874725068737,0.9369454102409736,0.0033734209172218417
2.2581909730317262,14.885095142163994,-0.4788176958842779,2.956847412127643,0.15660670852424316,0.9368637838443166,0.0033760400561994247
2.2590658146266795,14.885988922953636,-0.4801211019116764,2.9555545910758516,0.15672881040832862,0.9367800407350062,0.0033787214078498597
2.2599603579181817,14.886900917875248,-0.4814552472612843,2.95423220598623,0.15685378201361627,0.9366941674422271,0.0033814649768769104
2.2608745648539115,14.887830975820663,-0.48282018481728395,2.9528802805738135,0.1569816271591981,0.9366061500000606,0.0033842707658198437
2.261808398218379,14.88877894418308,-0.48421596890618623,2.9514988393322814,0.15711234981722447,0.9365159742688243,0.0033871387790849997
2.262761819630456,14.889744665431058,-0.4856426549338669,2.950087907485197,0.15724595399420155,0.9364236256798952,0.003390069020526988
2.263734789678008,14.890727979448314,-0.4871002994127668,2.948647511041887,0.1573824437472257,0.9363290894163543,0.0033930614936131713
2.264727269166603,14.89172872170727,-0.4885889601709791,2.9471776767797353,0.15752182323543612,0.9362323502653025,0.003396116202871835
