q1,q2,q3,q4,q5,q6
1.665860888195220754e-02,-5.552869627317402225e-03,1.665860888195220754e-02,1.665860888195220754e-02,1.665860888195220754e-02,1.665860888195220754e-02
1.828291768450083371e-02,-6.094305894833611237e-03,1.828291768450083371e-02,1.828291768450083371e-02,1.828291768450083371e-02,1.828291768450083371e-02
1.998277573367963217e-02,-6.660925244559876522e-03,1.998277573367963217e-02,1.998277573367963217e-02,1.998277573367963217e-02,1.998277573367963217e-02
2.175818302948859598e-02,-7.252727676496198948e-03,2.175818302948859598e-02,2.175818302948859598e-02,2.175818302948859598e-02,2.175818302948859598e-02
2.360913957192773208e-02,-7.869713190642576781e-03,2.360913957192773208e-02,2.360913957192773208e-02,2.360913957192773208e-02,2.360913957192773208e-02
2.553564536099703700e-02,-8.511881786999011754e-03,2.553564536099703700e-02,2.553564536099703700e-02,2.553564536099703700e-02,2.553564536099703700e-02
2.753770039669650727e-02,-9.179233465565501265e-03,2.753770039669650727e-02,2.753770039669650727e-02,2.753770039669650727e-02,2.753770039669650727e-02
2.961530467902614636e-02,-9.871768226342047051e-03,2.961530467902614636e-02,2.961530467902614636e-02,2.961530467902614636e-02,2.961530467902614636e-02
3.176845820798595427e-02,-1.058948606932865084e-02,3.176845820798595427e-02,3.176845820798595427e-02,3.176845820798595427e-02,3.176845820798595427e-02
3.399716098357592753e-02,-1.133238699452530918e-02,3.399716098357592753e-02,3.399716098357592753e-02,3.399716098357592753e-02,3.399716098357592753e-02
3.630141300579607655e-02,-1.210047100193202552e-02,3.630141300579607655e-02,3.630141300579607655e-02,3.630141300579607655e-02,3.630141300579607655e-02
3.868121427464639439e-02,-1.289373809154879640e-02,3.868121427464639439e-02,3.868121427464639439e-02,3.868121427464639439e-02,3.868121427464639439e-02
4.113656479012687411e-02,-1.371218826337562355e-02,4.113656479012687411e-02,4.113656479012687411e-02,4.113656479012687411e-02,4.113656479012687411e-02
4.366746455223752960e-02,-1.455582151741250871e-02,4.366746455223752960e-02,4.366746455223752960e-02,4.366746455223752960e-02,4.366746455223752960e-02
4.627391356097834696e-02,-1.542463785365944841e-02,4.627391356097834696e-02,4.627391356097834696e-02,4.627391356097834696e-02,4.627391356097834696e-02
4.895591181634933314e-02,-1.631863727211644438e-02,4.895591181634933314e-02,4.895591181634933314e-02,4.895591181634933314e-02,4.895591181634933314e-02
5.171345931835049509e-02,-1.723781977278349489e-02,5.171345931835049509e-02,5.171345931835049509e-02,5.171345931835049509e-02,5.171345931835049509e-02
5.454655606698182585e-02,-1.818218535566060515e-02,5.454655606698182585e-02,5.454655606698182585e-02,5.454655606698182585e-02,5.454655606698182585e-02
5.745520206224331156e-02,-1.915173402074776821e-02,5.745520206224331156e-02,5.745520206224331156e-02,5.745520206224331156e-02,5.745520206224331156e-02
6.043939730413497996e-02,-2.014646576804499101e-02,6.043939730413497996e-02,6.043939730413497996e-02,6.043939730413497996e-02,6.043939730413497996e-02
6.349914179265683800e-02,-2.116638059755227702e-02,6.349914179265683800e-02,6.349914179265683800e-02,6.349914179265683800e-02,6.349914179265683800e-02
6.663443552780883017e-02,-2.221147850926960890e-02,6.663443552780883017e-02,6.663443552780883017e-02,6.663443552780883017e-02,6.663443552780883017e-02
6.984527850959100503e-02,-2.328175950319699705e-02,6.984527850959100503e-02,6.984527850959100503e-02,6.984527850959100503e-02,6.984527850959100503e-02
7.313167073800333484e-02,-2.437722357933444495e-02,7.313167073800333484e-02,7.313167073800333484e-02,7.313167073800333484e-02,7.313167073800333484e-02
7.649361221304584735e-02,-2.549787073768194912e-02,7.649361221304584735e-02,7.649361221304584735e-02,7.649361221304584735e-02,7.649361221304584735e-02
7.993110293471852867e-02,-2.664370097823950609e-02,7.993110293471852867e-02,7.993110293471852867e-02,7.993110293471852867e-02,7.993110293471852867e-02
8.344414290302136494e-02,-2.781471430100712280e-02,8.344414290302136494e-02,8.344414290302136494e-02,8.344414290302136494e-02,8.344414290302136494e-02
8.703273211795438391e-02,-2.901091070598479579e-02,8.703273211795438391e-02,8.703273211795438391e-02,8.703273211795438391e-02,8.703273211795438391e-02
9.069687057951757170e-02,-3.023229019317252159e-02,9.069687057951757170e-02,9.069687057951757170e-02,9.069687057951757170e-02,9.069687057951757170e-02
9.443655828771092831e-02,-3.147885276257030712e-02,9.443655828771092831e-02,9.443655828771092831e-02,9.443655828771092831e-02,9.443655828771092831e-02
9.825179524253445373e-02,-3.275059841417814893e-02,9.825179524253445373e-02,9.825179524253445373e-02,9.825179524253445373e-02,9.825179524253445373e-02
1.021425814439881480e-01,-3.404752714799604701e-02,1.021425814439881480e-01,1.021425814439881480e-01,1.021425814439881480e-01,1.021425814439881480e-01
1.061089168920720111e-01,-3.536963896402400137e-02,1.061089168920720111e-01,1.061089168920720111e-01,1.061089168920720111e-01,1.061089168920720111e-01
1.101508015867860291e-01,-3.671693386226200506e-02,1.101508015867860291e-01,1.101508015867860291e-01,1.101508015867860291e-01,1.101508015867860291e-01
1.142682355281302159e-01,-3.808941184271007196e-02,1.142682355281302159e-01,1.142682355281302159e-01,1.142682355281302159e-01,1.142682355281302159e-01
1.184612187161045854e-01,-3.948707290536818820e-02,1.184612187161045854e-01,1.184612187161045854e-01,1.184612187161045854e-01,1.184612187161045854e-01
1.227297511507091099e-01,-4.090991705023636765e-02,1.227297511507091099e-01,1.227297511507091099e-01,1.227297511507091099e-01,1.227297511507091099e-01
1.270738328319438171e-01,-4.235794427731460338e-02,1.270738328319438171e-01,1.270738328319438171e-01,1.270738328319438171e-01,1.270738328319438171e-01
1.314934637598086931e-01,-4.383115458660289537e-02,1.314934637598086931e-01,1.314934637598086931e-01,1.314934637598086931e-01,1.314934637598086931e-01
1.359886439343037101e-01,-4.532954797810123670e-02,1.359886439343037101e-01,1.359886439343037101e-01,1.359886439343037101e-01,1.359886439343037101e-01
1.405593733554289515e-01,-4.685312445180964125e-02,1.405593733554289515e-01,1.405593733554289515e-01,1.405593733554289515e-01,1.405593733554289515e-01
1.452056520231843062e-01,-4.840188400772810207e-02,1.452056520231843062e-01,1.452056520231843062e-01,1.452056520231843062e-01,1.452056520231843062e-01
1.499274799375698575e-01,-4.997582664585661222e-02,1.499274799375698575e-01,1.499274799375698575e-01,1.499274799375698575e-01,1.499274799375698575e-01
1.547248570985855776e-01,-5.157495236619518558e-02,1.547248570985855776e-01,1.547248570985855776e-01,1.547248570985855776e-01,1.547248570985855776e-01
1.595977835062314665e-01,-5.319926116874381522e-02,1.595977835062314665e-01,1.595977835062314665e-01,1.595977835062314665e-01,1.595977835062314665e-01
1.645462591605074965e-01,-5.484875305350249419e-02,1.645462591605074965e-01,1.645462591605074965e-01,1.645462591605074965e-01,1.645462591605074965e-01
1.695702840614137230e-01,-5.652342802047123638e-02,1.695702840614137230e-01,1.695702840614137230e-01,1.695702840614137230e-01,1.695702840614137230e-01
1.746698582089501184e-01,-5.822328606965003484e-02,1.746698582089501184e-01,1.746698582089501184e-01,1.746698582089501184e-01,1.746698582089501184e-01
1.798449816031166548e-01,-5.994832720103888263e-02,1.798449816031166548e-01,1.798449816031166548e-01,1.798449816031166548e-01,1.798449816031166548e-01
1.850956542439133878e-01,-6.169855141463779363e-02,1.850956542439133878e-01,1.850956542439133878e-01,1.850956542439133878e-01,1.850956542439133878e-01
1.904218761313402897e-01,-6.347395871044675397e-02,1.904218761313402897e-01,1.904218761313402897e-01,1.904218761313402897e-01,1.904218761313402897e-01
1.958236472653973326e-01,-6.527454908846577752e-02,1.958236472653973326e-01,1.958236472653973326e-01,1.958236472653973326e-01,1.958236472653973326e-01
2.013009676460845720e-01,-6.710032254869485735e-02,2.013009676460845720e-01,2.013009676460845720e-01,2.013009676460845720e-01,2.013009676460845720e-01
2.068538372734019803e-01,-6.895127909113397957e-02,2.068538372734019803e-01,2.068538372734019803e-01,2.068538372734019803e-01,2.068538372734019803e-01
2.124822561473495575e-01,-7.082741871578318582e-02,2.124822561473495575e-01,2.124822561473495575e-01,2.124822561473495575e-01,2.124822561473495575e-01
2.181862242679273034e-01,-7.272874142264242059e-02,2.181862242679273034e-01,2.181862242679273034e-01,2.181862242679273034e-01,2.181862242679273034e-01
